x,y,z,som,picos
0.0000,0.0000,0.0000,27253,0
0.0000,0.0000,0.0000,27455,0
0.0000,0.0000,0.0000,27313,0
0.0000,0.0000,0.0000,27401,0
0.0000,0.0000,0.0000,27439,0
7.1172,0.7070,0.7734,27287,0
-17.2461,-9.9805,0.8867,27510,0
7.4219,-5.3086,2.1914,27260,0
-15.8984,14.4609,0.0820,27477,0
5.0117,-11.3633,2.8008,27344,0
-8.6250,13.0391,0.3516,27364,0
-25.5977,0.9766,-0.1094,27468,0
-0.1211,-13.4609,2.8789,27265,0
-26.1719,6.7227,-0.5312,27526,0
-5.5625,-13.3906,2.4570,27260,0
4.6289,4.8828,0.2734,27260,0
-11.8438,-12.2422,1.9219,27448,0
7.3438,-0.2500,1.1562,27388,0
-20.5781,13.8477,0.0430,27338,0
-17.9297,-9.2148,0.6953,27528,0
-15.0234,14.1914,0.0430,27296,0
-22.8398,-4.5039,0.1992,27534,0
4.4766,-10.8203,3.0312,27326,0
-25.2148,1.0898,-0.4141,27448,0
-0.0078,-13.4297,3.2617,27429,0
-1.2695,9.6758,-0.1484,27361,0
-5.8281,-14.0391,2.7656,27535,0
4.5508,5.2305,0.3906,27299,0
-24.4883,11.7383,-0.4141,27518,0
-12.0352,-12.5469,1.5391,27351,0
-20.3047,14.4961,0.1211,27423,0
-18.3555,-8.7930,0.5039,27452,0
6.9258,-7.0703,2.3828,27327,0
-23.3359,-3.1602,-0.0312,27542,0
4.0938,-11.8203,3.0312,27298,0
-6.9023,12.0078,-0.0703,27509,0
-25.9375,2.5078,-0.4922,27359,0
0.0703,8.4883,0.2344,27391,0
-26.0195,7.8320,-0.6445,27391,0
-6.8242,-13.3945,2.6484,27483,0
-23.6836,11.6641,-0.6055,27324,0
-13.1133,-11.6289,1.7695,27537,0
7.5000,-1.5898,1.6523,27282,0
-18.9297,-8.2969,0.3906,27484,0
6.8125,-7.5234,2.5742,27393,0
-13.5273,14.1875,-0.1094,27344,0
-23.6797,-3.3164,-0.1094,27494,0
-6.7500,12.0117,-0.3008,27291,0
-25.5977,2.8516,-0.3398,27497,0
-1.0391,-13.5820,3.0703,27305,0
-25.3672,8.1406,-0.4141,27416,0
-6.8633,-12.5078,2.7266,27402,0
4.7461,2.5859,0.6953,27296,0
-23.5664,12.1211,-0.6445,27523,0
7.1602,-2.4336,1.3086,27260,0
-19.8867,13.3086,-0.8750,27476,0
-18.0117,-6.1133,0.8477,27476,0
-14.4102,12.8516,-1.1055,27363,0
-22.6797,-1.8203,0.1211,27434,0
3.6328,-12.1289,4.0273,27434,0
-7.2461,10.7812,-0.6055,27295,0
-0.8477,-13.6953,3.6445,27487,0
-0.0078,6.9180,0.0078,27274,0
-25.5977,9.5195,-0.7617,27439,0
5.6250,1.2422,0.4258,27369,0
-23.3008,12.5820,-0.6055,27353,0
-14.0273,-9.0977,1.6133,27451,0
-19.2773,13.4648,-0.2617,27303,0
-19.6602,-5.3086,0.2734,27512,0
6.4688,-9.4062,2.8789,27290,0
-12.5312,12.3125,0.1992,27448,0
2.5586,-12.5898,3.5312,27406,0
-4.8320,8.8672,0.3906,27334,0
-25.6719,6.4922,-0.7969,27507,0
2.5977,5.3477,-0.2227,27299,0
-25.4375,10.4375,-0.4141,27515,0
-9.2773,-11.5898,2.3047,27316,0
6.5391,0.1328,0.6172,27434,0
-15.7891,-8.5625,1.1953,27445,0
7.3828,-5.6914,2.2656,27326,0
-17.1641,13.5781,-0.1094,27326,0
5.5078,-10.6758,3.2617,27556,0
-10.2344,12.3516,-0.1836,27288,0
-24.7930,1.0117,-0.4922,27520,0
1.1797,-13.3516,3.5703,27374,0
-25.9023,6.8359,-0.4922,27412,0
-4.6797,-13.5039,3.0703,27503,0
3.9766,4.5430,0.1211,27321,0
-10.8477,-11.2031,1.8828,27585,0
7.0820,-1.1680,1.2305,27301,0
-21.1914,13.6914,-0.2227,27492,0
7.0000,-6.9922,2.5742,27430,0
-15.2500,13.6914,-0.1836,27344,0
-22.5742,-3.2383,0.0430,27538,0
4.4766,-11.6250,3.5703,27323,0
-25.4375,2.5859,-0.5312,27531,0
-0.0820,-13.8438,3.6055,27345,0
-0.8477,8.3320,-0.1836,27435,0
-6.0977,-13.1602,2.8008,27461,0
4.8242,3.0430,0.4258,27359,0
-23.9844,12.4297,-0.6055,27529,0
-12.6094,-10.5938,1.9219,27529,0
-20.0391,14.1914,-0.4922,27325,0
-18.5898,-6.6875,0.6953,27514,0
6.6211,-8.6797,2.8398,27360,0
-23.2969,-1.5898,-0.0312,27430,0
3.4805,-12.4688,3.8359,27465,0
-6.4414,10.7812,-0.4531,27318,0
-1.2305,-13.8125,3.4922,27539,0
0.5312,6.8750,-0.3398,27309,0
-25.5156,9.6328,-0.7617,27470,0
-7.3984,-12.5508,2.7656,27383,0
-23.2617,13.0039,-0.6445,27392,0
-13.9062,-9.3281,1.6133,27469,0
7.3867,-4.8477,2.1133,27319,0
-19.6172,-5.2305,0.7344,27541,0
6.2383,-10.1367,3.1094,27290,0
-12.6484,12.9258,-0.4141,27458,0
-23.6406,0.0195,0.0430,27404,0
-5.1406,9.9805,-0.6055,27341,0
-25.5586,5.8789,-0.3398,27509,0
-2.5352,-13.8867,3.1875,27509,0
-25.1367,11.2812,-0.4531,27526,0
-8.7031,-12.2031,2.4180,27526,0
5.8906,-0.5938,0.6562,27324,0
-22.2305,14.2695,-0.4531,27423,0
7.1602,-6.6875,1.9219,27473,0
-17.4414,14.3438,-0.6445,27307,0
-20.7656,-3.8125,0.9648,27554,0
-11.2695,12.5000,-0.7969,27329,0
-24.1055,1.7812,0.1211,27511,0
1.7930,-13.9609,3.6055,27410,0
-25.2930,7.4883,-0.3398,27394,0
-3.5703,-13.7734,3.4922,27524,0
2.1016,4.0820,-0.5703,27317,0
-24.4883,12.4297,-0.7617,27547,0
5.9336,-2.3203,0.5820,27329,0
-21.6484,15.3398,-1.0273,27465,0
-16.0195,-7.8359,1.8828,27436,0
-16.4023,14.6875,-1.1797,27357,0
-21.4961,-2.3945,1.1172,27514,0
4.9336,-12.8125,3.4922,27316,0
-9.8516,11.8125,-1.4492,27526,0
0.8750,-14.4609,4.0664,27336,0
-2.8398,7.7930,-1.3359,27336,0
-25.0156,9.2500,-0.5703,27422,0
3.1328,2.2773,-0.4141,27475,0
-23.8008,13.4258,-1.1445,27339,0
-11.3867,-10.6328,3.0312,27534,0
6.4727,-3.8516,0.9648,27307,0
