x,y,z,som,picos
-1.7305,-1.4766,-0.8359,27360,0
-14.3281,4.1562,5.2539,27310,0
-22.7227,-5.5352,3.9883,27480,0
-0.6562,-0.9414,-1.3711,27295,0
-17.0859,3.3125,6.1367,27371,0
-19.7344,-5.5000,3.1484,27487,0
0.1094,-0.2500,-1.7578,27487,0
-1.5781,2.8906,-3.5938,27256,0
-16.0938,-5.1914,2.3828,27402,0
0.9492,0.4023,-2.4062,27459,0
-2.4570,3.0039,-2.6367,27226,0
-12.7969,-4.6562,1.7305,27411,0
1.5273,1.2070,-3.0977,27436,0
-3.4141,3.5000,-1.5273,27210,0
-9.5781,-4.3477,1.2695,27428,0
2.2148,1.9727,-3.6367,27406,0
-4.9492,3.7344,-0.7227,27194,0
-28.3516,-0.9414,7.4766,27431,0
2.3320,2.7383,-4.1680,27385,0
-6.1367,4.6133,0.1211,27220,0
-29.0781,-1.8984,6.4414,27448,0
3.5938,3.5039,-5.5078,27345,0
-9.2383,5.0352,1.7695,27265,0
-27.2461,-2.8164,5.4062,27469,0
-4.1055,-5.1875,1.6523,27298,0
-12.6133,6.3398,2.7656,27307,0
-25.2539,-3.8906,4.2188,27462,0
-2.3438,-5.0000,1.0391,27462,0
-15.1719,7.2578,2.9922,27352,0
-23.7969,-6.1875,5.2148,27352,0
-1.3086,-3.9609,0.8086,27467,0
1.1055,4.2695,-3.9766,27251,0
-20.4609,-6.3398,3.8750,27405,0
0.1836,-5.0820,0.8086,27473,0
-0.5430,-0.0586,-3.5156,27257,0
-17.3984,-5.1523,2.1523,27437,0
4.5156,-8.4844,2.3438,27402,0
-6.3281,13.6562,0.5430,27252,0
-11.8438,-18.4883,0.8477,27449,0
8.0391,-5.3828,5.0625,27371,0
-10.8086,24.6133,2.1914,27324,0
-25.9414,-0.2109,-2.5977,27520,0
7.4609,-1.2461,2.4570,27370,0
-9.2773,21.5469,2.5742,27294,0
-26.4375,-2.6641,-1.4883,27499,0
7.6172,0.4375,2.1523,27387,0
-9.0469,18.6719,3.0312,27309,0
-25.7109,-3.5078,-1.5273,27494,0
-12.5312,-15.5312,1.1562,27394,0
-9.1602,17.5664,3.1094,27322,0
-24.6758,-3.3164,-3.5195,27499,0
-13.1445,-19.9766,0.0430,27499,0
-10.6953,19.2422,1.4609,27399,0
-23.4492,-2.9336,-4.1680,27325,0
-11.8828,-19.4414,0.1211,27488,0
6.7734,4.5000,6.4023,27413,0
-22.4531,-6.5312,-4.5508,27323,0
-12.3789,-21.4336,0.4648,27476,0
5.7031,5.8008,9.2383,27436,0
-20.6172,-11.9727,-7.1172,27343,0
