x,y,z,som,picos
0.0000,0.0000,0.0000,27474,0
0.0000,0.0000,0.0000,27384,0
0.0000,0.0000,0.0000,27495,0
0.0000,0.0000,0.0000,27432,0
0.0000,0.0000,0.0000,27501,0
-4.4844,-4.0039,-0.1094,27417,0
-13.0742,3.7344,0.7734,27510,0
-4.2578,-4.3828,-0.4141,27378,0
-12.3750,1.9727,-2.1758,27506,0
-4.3750,-4.4648,-0.7617,27413,0
-13.2969,2.8125,-1.9844,27489,0
-11.0781,2.2383,1.0781,27403,0
-4.5273,-4.4648,-1.0664,27492,0
-10.0039,1.3203,1.1172,27447,0
-4.9844,-4.3125,-1.3711,27445,0
-14.6797,4.1562,-1.5273,27479,0
-5.6367,-3.8906,-1.6016,27453,0
-15.0977,4.5781,-1.1797,27496,0
-7.9414,-0.4023,1.0039,27496,0
-6.4805,-3.3164,-1.8320,27435,0
-6.9805,-1.2852,0.8867,27521,0
-7.3633,-2.5859,-2.0625,27427,0
-15.2109,5.0352,-0.4531,27512,0
-8.3203,-1.8203,-2.2148,27433,0
-14.9844,4.9609,-0.1094,27523,0
-5.4062,-2.8555,0.3906,27403,0
-14.4844,4.6914,0.2344,27516,0
-4.8320,-3.5469,0.1602,27419,0
-10.3438,-0.0195,-2.2930,27462,0
-13.9062,4.2695,0.5039,27434,0
-11.3867,0.8984,-2.2539,27435,0
-13.1094,3.7734,0.7734,27444,0
-4.2578,-4.3477,-0.3789,27407,0
-12.1484,3.0820,1.0039,27454,0
-4.3359,-4.4648,-0.7227,27396,0
-13.2188,2.6992,-2.0234,27464,0
-11.1484,2.3164,1.0391,27377,0
-13.9883,3.4648,-1.7930,27479,0
-10.0820,1.4727,1.1172,27366,0
-5.0234,-4.3477,-1.3711,27366,0
-9.0898,0.5547,1.0391,27376,0
-5.5977,-3.9648,-1.5664,27376,0
-14.9844,4.5391,-1.2188,27479,0
-6.3984,-3.4297,-1.8320,27401,0
-15.1758,4.8828,-0.8359,27426,0
-7.0977,-1.2070,0.8867,27438,0
-7.2422,-2.7031,-2.0234,27420,0
-6.2539,-2.0117,0.6953,27454,0
-8.2070,-1.8984,-2.1758,27397,0
-15.0664,4.9609,-0.1484,27459,0
-9.1953,-1.0547,-2.2930,27406,0
-14.5664,4.7695,0.1602,27466,0
-4.9062,-3.4297,0.1992,27377,0
-10.3125,-0.1367,-2.3320,27491,0
-4.4844,-3.9297,-0.0703,27359,0
-11.3086,0.7852,-2.2148,27472,0
-13.2578,3.7734,0.7734,27390,0
-12.1133,1.7812,-2.1406,27456,0
-12.3359,3.0820,0.9648,27410,0
-4.3359,-4.5000,-0.6445,27431,0
-13.1445,2.6992,-2.0234,27419,0
-4.5234,-4.4648,-1.0273,27393,0
-13.9453,3.4648,-1.7930,27393,0
-10.1602,1.5117,1.0781,27425,0
-14.6055,4.1172,-1.6016,27385,0
-9.1602,0.5938,1.0391,27442,0
-5.5625,-3.8516,-1.6797,27350,0
-7.9727,-0.3672,0.9258,27460,0
-6.3984,-3.3906,-1.9102,27337,0
-15.2539,4.9219,-0.9141,27458,0
-7.0977,-1.2070,0.8477,27347,0
-15.1758,4.9961,-0.4531,27447,0
-6.1328,-2.0898,0.7344,27338,0
-8.2031,-1.8984,-2.1016,27430,0
-5.4102,-2.8164,0.5039,27399,0
-9.2734,-0.9766,-2.2148,27377,0
-14.6797,4.6914,0.2344,27414,0
-4.8281,-3.4688,0.1211,27385,0
-13.8359,4.2695,0.4258,27417,0
-4.5234,-4.0430,-0.1484,27385,0
-11.3828,1.0117,-2.2539,27447,0
-4.3750,-4.4258,-0.4922,27358,0
-12.4141,1.9336,-2.2148,27452,0
-12.0312,3.0430,0.9648,27341,0
-4.2578,-4.5039,-0.7227,27341,0
-11.1484,2.1992,1.1562,27450,0
-4.6406,-4.4648,-0.9883,27339,0
-14.0625,3.5430,-1.7188,27423,0
-4.9453,-4.2734,-1.3359,27370,0
-14.6406,4.2305,-1.4492,27400,0
-8.9727,0.4375,1.0039,27362,0
-15.0977,4.7305,-1.2188,27390,0
-7.8633,-0.4414,0.9648,27379,0
-6.4766,-3.3164,-1.9844,27349,0
